time	V(in)	V(out)
Step Information: Index=3  (Run: 3/5)
6.122399999999991e-004	3.300000e+000	2.429666e+000
6.132399999999991e-004	3.300000e+000	2.463586e+000
6.142399999999990e-004	3.300000e+000	2.491359e+000
6.152399999999989e-004	3.300000e+000	2.514100e+000
6.162399999999988e-004	3.300000e+000	2.532720e+000
6.172399999999987e-004	3.300000e+000	2.547966e+000
6.182399999999986e-004	3.300000e+000	2.560449e+000
6.192399999999986e-004	3.300000e+000	2.570670e+000
6.202399999999985e-004	3.300000e+000	2.579039e+000
6.212399999999984e-004	3.300000e+000	2.585891e+000
6.222399999999983e-004	3.300000e+000	2.591502e+000
6.232399999999982e-004	3.300000e+000	2.596097e+000
6.242399999999981e-004	3.300000e+000	2.599858e+000
6.252399999999981e-004	3.300000e+000	2.602938e+000
6.262399999999980e-004	3.300000e+000	2.605460e+000
6.272399999999979e-004	3.300000e+000	2.607525e+000
6.282399999999978e-004	3.300000e+000	2.609215e+000
6.292399999999977e-004	3.300000e+000	2.610600e+000
6.302399999999976e-004	3.300000e+000	2.611733e+000
6.312399999999975e-004	3.300000e+000	2.612661e+000
6.322399999999975e-004	3.300000e+000	2.613421e+000
6.332399999999974e-004	3.300000e+000	2.614043e+000
6.342399999999973e-004	3.300000e+000	2.614553e+000
6.352399999999972e-004	3.300000e+000	2.614970e+000
6.362399999999971e-004	3.300000e+000	2.615312e+000
6.372399999999970e-004	3.300000e+000	2.615592e+000
6.382399999999970e-004	3.300000e+000	2.615820e+000
6.392399999999969e-004	3.300000e+000	2.616008e+000
6.402399999999968e-004	3.300000e+000	2.616161e+000
6.412399999999967e-004	3.300000e+000	2.616287e+000
6.422399999999966e-004	3.300000e+000	2.616390e+000
6.432399999999965e-004	3.300000e+000	2.616474e+000
6.442399999999965e-004	3.300000e+000	2.616543e+000
6.452399999999964e-004	3.300000e+000	2.616600e+000
6.462399999999963e-004	3.300000e+000	2.616646e+000
6.472399999999962e-004	3.300000e+000	2.616684e+000
6.492399999999960e-004	3.300000e+000	2.616740e+000
