time	V(out)	I(R1)
Step Information: Index=2  (Run: 2/5)
7.442399999999967e-004	-6.471030e-001	-4.057941e-005
7.462399999999965e-004	-6.471485e-001	-4.057030e-005
7.492399999999963e-004	-6.471887e-001	-4.056227e-005
7.542399999999959e-004	-6.472178e-001	-4.055644e-005
7.652399999999949e-004	-6.472315e-001	-4.055371e-005
8.000000000000002e-004	-6.472328e-001	-4.055343e-005
8.001000000000002e-004	-6.436205e-001	-7.275897e-006
8.003000000000001e-004	-6.298552e-001	5.797103e-005
8.006000000000001e-004	-5.909179e-001	1.521836e-004
8.010000000000001e-004	-5.168723e-001	2.733745e-004
8.012799999999999e-004	-4.495583e-001	2.599117e-004
8.016000000000000e-004	-3.783839e-001	2.456768e-004
8.022400000000001e-004	-2.507342e-001	2.201468e-004
8.032400000000000e-004	-7.971317e-002	1.859426e-004
8.042399999999999e-004	6.136353e-002	1.577273e-004
8.052399999999998e-004	1.750618e-001	1.349876e-004
8.062399999999997e-004	2.666949e-001	1.166610e-004
8.072399999999997e-004	3.405450e-001	1.018910e-004
8.082399999999996e-004	4.000632e-001	8.998736e-005
8.092399999999995e-004	4.480308e-001	8.039384e-005
8.102399999999994e-004	4.866895e-001	7.266211e-005
8.112399999999993e-004	5.178457e-001	6.643085e-005
8.122399999999992e-004	5.429556e-001	6.140888e-005
8.132399999999992e-004	5.631924e-001	5.736151e-005
8.142399999999991e-004	5.795020e-001	5.409961e-005
8.152399999999990e-004	5.926464e-001	5.147074e-005
8.162399999999989e-004	6.032398e-001	4.935204e-005
8.172399999999988e-004	6.117774e-001	4.764452e-005
8.182399999999987e-004	6.186582e-001	4.626837e-005
8.192399999999986e-004	6.242036e-001	4.515928e-005
8.202399999999986e-004	6.286728e-001	4.426544e-005
8.212399999999985e-004	6.322747e-001	4.354506e-005
8.222399999999984e-004	6.351776e-001	4.296448e-005
8.232399999999983e-004	6.375171e-001	4.249657e-005
8.242399999999982e-004	6.394026e-001	4.211947e-005
8.252399999999981e-004	6.409222e-001	4.181556e-005
8.262399999999981e-004	6.421469e-001	4.157062e-005
8.272399999999980e-004	6.431339e-001	4.137322e-005
8.282399999999979e-004	6.439294e-001	4.121412e-005
8.292399999999978e-004	6.445705e-001	4.108591e-005
8.302399999999977e-004	6.450871e-001	4.098257e-005
8.312399999999976e-004	6.455036e-001	4.089929e-005
8.322399999999976e-004	6.458392e-001	4.083217e-005
8.332399999999975e-004	6.461096e-001	4.077808e-005
8.342399999999974e-004	6.463276e-001	4.073448e-005
8.352399999999973e-004	6.465033e-001	4.069935e-005
8.362399999999972e-004	6.466448e-001	4.067103e-005
8.372399999999971e-004	6.467590e-001	4.064821e-005
8.382399999999970e-004	6.468509e-001	4.062982e-005
8.392399999999970e-004	6.469250e-001	4.061499e-005
8.402399999999969e-004	6.469848e-001	4.060304e-005
8.412399999999968e-004	6.470329e-001	4.059342e-005
8.432399999999966e-004	6.471030e-001	4.057941e-005
8.452399999999965e-004	6.471485e-001	4.057030e-005
8.482399999999962e-004	6.471887e-001	4.056227e-005
8.532399999999958e-004	6.472178e-001	4.055644e-005
8.642399999999949e-004	6.472315e-001	4.055371e-005
9.010000000000001e-004	6.472328e-001	4.055343e-005
9.011000000000002e-004	6.436205e-001	7.275897e-006
9.013000000000001e-004	6.298552e-001	-5.797103e-005
9.016000000000000e-004	5.909179e-001	-1.521836e-004
9.020000000000002e-004	5.168723e-001	-2.733745e-004
9.022800000000001e-004	4.495583e-001	-2.599117e-004
9.026000000000002e-004	3.783839e-001	-2.456768e-004
9.032400000000003e-004	2.507342e-001	-2.201468e-004
9.042400000000002e-004	7.971317e-002	-1.859426e-004
9.052400000000001e-004	-6.136353e-002	-1.577273e-004
9.062400000000000e-004	-1.750618e-001	-1.349876e-004
9.072399999999999e-004	-2.666949e-001	-1.166610e-004
9.082399999999998e-004	-3.405450e-001	-1.018910e-004
9.092399999999997e-004	-4.000632e-001	-8.998736e-005
9.102399999999997e-004	-4.480308e-001	-8.039384e-005
9.112399999999996e-004	-4.866895e-001	-7.266211e-005
9.122399999999995e-004	-5.178457e-001	-6.643085e-005
9.132399999999994e-004	-5.429556e-001	-6.140888e-005
9.142399999999993e-004	-5.631924e-001	-5.736151e-005
9.152399999999992e-004	-5.795020e-001	-5.409961e-005
9.162399999999992e-004	-5.926464e-001	-5.147074e-005
9.172399999999991e-004	-6.032398e-001	-4.935204e-005
9.182399999999990e-004	-6.117774e-001	-4.764452e-005
